probIn scale
0.128333 2.597327e-06
0.1324847 2.688197e-06
0.1401516 2.776103e-06
0.1308486 2.754807e-06
0.1410495 2.750995e-06
0.1229685 2.666188e-06
0.1264893 2.628251e-06
0.116513 2.622601e-06
0.1282327 2.508827e-06
0.123885 2.377556e-06
0.1144965 2.40931e-06
0.1237261 2.347527e-06
0.1228163 2.419774e-06
0.1366529 2.425326e-06
0.1244816 2.456372e-06
0.1330845 2.466294e-06
0.1356311 2.478561e-06
0.1260056 2.489745e-06
0.1233987 2.510188e-06
0.1378766 2.580398e-06
0.1330392 2.602041e-06
0.1345162 2.606518e-06
0.1269812 2.618972e-06
0.150872 2.577421e-06
0.1607691 2.548498e-06
0.1615387 2.593569e-06
0.1677464 2.602916e-06
0.178561 2.546327e-06
0.1709485 2.535579e-06
0.154089 2.545062e-06
0.161279 2.50707e-06
0.1578041 2.547594e-06
0.1562909 2.514977e-06
0.175503 2.537944e-06
0.1729849 2.551622e-06
0.1585257 2.602725e-06
0.1682304 2.514288e-06
0.1424834 2.550262e-06
0.1385232 2.560847e-06
0.1573422 2.418237e-06
0.1422098 2.443833e-06
0.1440598 2.394139e-06
0.1439283 2.416347e-06
0.1515561 2.422328e-06
0.1517843 2.475979e-06
0.1505875 2.515135e-06
0.1573048 2.534284e-06
0.170308 2.512778e-06
0.1593856 2.572278e-06
0.141817 2.512874e-06
0.1507837 2.392725e-06
0.1352394 2.357778e-06
0.1452331 2.355163e-06
0.1506649 2.335569e-06
0.1563596 2.321978e-06
0.155867 2.291941e-06
0.1484568 2.271698e-06
0.14577 2.238456e-06
0.1456676 2.125397e-06
0.1365255 2.097225e-06
0.1418742 2.156176e-06
0.1346815 2.136387e-06
0.1424494 2.117541e-06
0.1417646 2.086443e-06
0.143869 2.120461e-06
0.1344186 2.082866e-06
0.1364352 2.108029e-06
0.1617004 2.033122e-06
0.1779598 2.078361e-06
0.1889842 2.108954e-06
0.1959106 2.099332e-06
0.1827377 2.049056e-06
0.1706867 2.04166e-06
0.1666177 2.045008e-06
0.1614293 2.075225e-06
0.1583509 2.117787e-06
0.1641303 2.145591e-06
0.1464841 2.128097e-06
0.141778 2.227597e-06
0.1539731 2.231673e-06
0.1428327 2.25088e-06
0.1416291 2.282601e-06
0.1367134 2.291312e-06
0.1281719 2.323535e-06
0.141629 2.291805e-06
0.1155671 2.224098e-06
0.1051154 2.192847e-06
0.09099835 2.136574e-06
0.08699965 2.192924e-06
0.07509571 2.23304e-06
