"NSFTV.ID","Rep","DayOfImaging","Exp","PSA"
"NSFTV_11","1","5","E3",107817
"NSFTV_11","1","6","E3",127305
"NSFTV_11","1","7","E3",142098
"NSFTV_11","1","8","E3",156628
"NSFTV_11","1","9","E3",176078
"NSFTV_11","2","0","E3",NA
"NSFTV_11","2","2","E3",NA
"NSFTV_11","2","3","E3",NA
"NSFTV_11","2","5","E3",NA
"NSFTV_11","2","6","E3",NA
"NSFTV_11","2","7","E3",NA
"NSFTV_11","2","8","E3",NA
"NSFTV_11","2","9","E3",NA
"NSFTV_112","1","0","E1",26635
"NSFTV_112","1","2","E1",43162
"NSFTV_112","1","3","E1",50156
"NSFTV_112","1","5","E1",69328
"NSFTV_112","1","6","E1",86877
"NSFTV_112","1","7","E1",94697
"NSFTV_112","1","8","E1",116258
"NSFTV_112","1","9","E1",145079
"NSFTV_112","2","0","E1",NA
"NSFTV_112","2","2","E1",NA
"NSFTV_112","2","3","E1",NA
"NSFTV_112","2","5","E1",NA
"NSFTV_112","2","6","E1",NA
"NSFTV_112","2","7","E1",NA
"NSFTV_112","2","8","E1",NA
"NSFTV_112","2","9","E1",NA
"NSFTV_112","1","0","E2",47587
"NSFTV_112","1","2","E2",74192
"NSFTV_112","1","3","E2",83023
"NSFTV_112","1","5","E2",118556
"NSFTV_112","1","6","E2",136401
"NSFTV_112","1","7","E2",149182
"NSFTV_112","1","8","E2",168153
"NSFTV_112","1","9","E2",202869
"NSFTV_112","2","0","E2",NA
"NSFTV_112","2","2","E2",NA
"NSFTV_112","2","3","E2",NA
"NSFTV_112","2","5","E2",NA
"NSFTV_112","2","6","E2",NA
"NSFTV_112","2","7","E2",NA
"NSFTV_112","2","8","E2",NA
"NSFTV_112","2","9","E2",NA
"NSFTV_112","1","0","E3",30562
"NSFTV_112","1","2","E3",48555
"NSFTV_112","1","3","E3",57262
"NSFTV_112","1","5","E3",80332
"NSFTV_112","1","6","E3",90964
"NSFTV_112","1","7","E3",98099
