"NSFTV.ID","PSA_8_2013","PSA_9_2013","PSA_11_2013","PSA_12_2013","PSA_14_2013","PSA_15_2013","PSA_16_2013","PSA_17_2013","PSA_18_2013","PSA_19_2013","PSA_20_2013","PSA_21_2013","PSA_22_2013","PSA_23_2013","PSA_24_2013","PSA_25_2013","PSA_26_2013","PSA_27_2013"
"NSFTV_159",3035.339987,3897.236139,6036.317138,7577.17889,12816.75809,16773.69555,20057.13848,23718.84049,29002.75248,36008.83747,46947.91849,60012.13989,75687.51102,94582.68439,113456.7148,144744.9053,167446.4457,200767.9766
"NSFTV_16",3217.423321,4148.069472,6417.150471,7724.595556,12371.17476,14203.94555,17745.47182,21681.42382,24773.58582,28999.9208,35993.33516,43193.55656,51816.84435,64802.51772,74456.63142,88590.07192,100506.0291,118202.6432
"NSFTV_160",2269.589987,3011.402805,5301.567138,6120.92889,8907.341425,11454.94555,13499.55515,15889.92382,19424.08582,25140.25413,30763.00182,37347.63989,46443.67768,56893.43439,67305.38142,79278.32192,93628.52908,113300.8099
"NSFTV_161",2621.423321,3312.736139,5355.650471,6659.095556,10310.17476,12798.86222,15720.22182,18760.75716,22380.25248,27772.08747,35273.91849,46697.30656,58116.42768,71291.76772,85140.88142,103375.1553,119937.4457,139353.6432
"NSFTV_162",2637.339987,3134.986139,5252.733804,6425.845556,10418.84142,12986.69555,17326.22182,20875.09049,25073.91915,30665.08747,38468.08516,49482.88989,63566.67768,78911.01772,94112.88142,116476.2386,133333.7791,157715.1432
"NSFTV_163",3471.339987,4609.236139,6781.150471,8934.012223,14060.59142,17913.52888,21972.80515,26744.00716,32557.58582,40948.50413,50450.58516,62334.47323,78052.01102,93417.01772,107333.7148,129777.7386,153120.9457,176616.9766
"NSFTV_164",2920.256654,3519.652805,5021.067138,5708.42889,7691.508091,8866.362217,10739.05515,12692.67382,14566.08582,17188.1708,21650.00182,25737.88989,31055.34435,35281.18439,40990.88142,49793.15526,57719.27908,66704.5599
"NSFTV_165",3360.006654,4115.819472,6875.483804,8395.17889,12841.67476,16382.86222,18760.80515,22364.92382,27052.75248,31938.4208,38875.66849,48222.05656,60288.01102,73877.10105,86065.29809,108365.7386,121803.4457,140515.0599
"NSFTV_166",4712.339987,5950.069472,9030.483804,11343.34556,16279.75809,19357.86222,22010.47182,28772.50716,36204.25248,43585.6708,55207.91849,66712.47323,81907.34435,97682.85105,112710.7148,134547.4053,156071.2791,183626.9766
"NSFTV_167",1214.839987,1570.319472,2709.150471,3186.512223,4258.841425,5253.69555,6392.138484,7604.340491,8758.085817,10755.08747,14137.00182,17762.47323,22348.34435,27134.51772,32097.63142,39150.48859,47229.36241,56259.39323
"NSFTV_168",4735.673321,5757.236139,7915.983804,9445.42889,14069.84142,17330.36222,20860.13848,24551.84049,28620.83582,35108.4208,43014.50182,51657.22323,63133.84435,76083.60105,89210.46475,105262.9053,120700.5291,140940.6432
"NSFTV_169",3109.339987,4268.902805,6367.817138,7699.345556,12422.75809,13996.02888,18689.80515,23420.00716,26663.75248,31826.83747,39679.75182,50652.63989,64371.17768,76120.68439,91532.04809,112029.9053,130125.7791,157175.6432
"NSFTV_17",2359.089987,2984.319472,4826.067138,5845.845556,9040.924758,11548.86222,13882.13848,16263.59049,20134.91915,25801.50413,33216.75182,41395.88989,52970.34435,63752.60105,76728.63142,93615.07192,111091.6124,128762.5599
"NSFTV_170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_171",4241.339987,5838.736139,8798.317138,11995.84556,18577.75809,23785.69555,28720.80515,34064.34049,40486.91915,51452.83747,64496.25182,79415.47323,97643.01102,119227.8511,136140.8814,161180.7386,186596.7791,214523.4766
"NSFTV_172",3782.589987,4806.152805,8053.983804,9253.012223,14917.17476,18491.77888,22631.22182,27827.84049,32800.50248,40171.00413,48844.58516,59897.88989,72849.26102,89368.26772,102746.6314,124271.6553,141577.1124,165328.8932
"NSFTV_173",2163.673321,2443.236139,4166.817138,4864.17889,7064.591425,9356.028883,11612.13848,13396.84049,15985.08582,21098.00413,26414.41849,30895.80656,40684.67768,50505.18439,58222.21475,72517.07192,84894.94575,102467.8099
"NSFTV_174",3104.339987,4134.569472,7218.650471,8333.012223,11726.42476,15662.52888,19651.47182,21077.17382,24267.75248,31623.33747,41561.25182,49252.97323,60185.84435,72800.01772,84702.88142,101421.2386,119141.7791,139281.4766
"NSFTV_175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_176",2914.673321,3538.736139,5735.483804,6689.17889,10478.59142,13007.36222,15874.47182,17702.84049,21349.25248,27228.00413,35514.08516,42267.47323,53682.34435,66288.18439,77970.04809,92015.90526,107373.1124,130762.3099
"NSFTV_177",2781.506654,3577.402805,5861.817138,6516.345556,9823.758091,12040.86222,14556.30515,16631.67382,20238.91915,26231.83747,31760.41849,38253.30656,48834.84435,60879.01772,69400.54809,85677.40526,98749.11241,115590.8099
"NSFTV_178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_179",3628.173321,4435.736139,6942.650471,8577.012223,12336.09142,15410.19555,20375.30515,24207.50716,28119.91915,33878.6708,42007.41849,52748.80656,63024.84435,76104.18439,89681.88142,111093.9053,125898.7791,145060.4766
"NSFTV_18",4974.173321,5906.069472,9238.150471,11150.84556,17501.59142,21095.19555,24668.80515,29527.00716,34407.25248,41557.83747,53122.25182,63943.97323,77832.51102,92554.18439,110300.8814,128228.4053,148330.9457,175709.4766
"NSFTV_180",3091.673321,3768.736139,5667.150471,6656.67889,10092.59142,12333.19555,14955.97182,16976.84049,18660.91915,23530.50413,29071.75182,36100.47323,45965.67768,55106.18439,64489.88142,79388.40526,89075.44575,102749.9766
"NSFTV_181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_182",3098.006654,4145.902805,6391.817138,7302.67889,11205.09142,13594.36222,15410.63848,17281.00716,20509.08582,25294.33747,29808.58516,36207.63989,48614.67768,59283.18439,66411.04809,81110.07192,98116.44575,114825.8099
"NSFTV_183",2914.673321,4047.069472,7174.317138,8569.345556,13348.25809,17963.36222,20516.97182,22792.00716,27778.58582,34364.50413,43195.08516,50327.30656,62243.17768,79199.68439,95241.71475,114038.9053,130742.6124,153728.9766
"NSFTV_184",4009.006654,5182.236139,7834.567138,9262.17889,14047.75809,17102.94555,20839.72182,23564.34049,28170.25248,34434.33747,41918.33516,50852.22323,64908.01102,78361.18439,93868.29809,116163.2386,134967.1124,152679.4766
