"NSFTV.ID","PSA_19_2014","PSA_21_2014","PSA_22_2014","PSA_25_2014","PSA_26_2014","PSA_27_2014","PSA_28_2014","PSA_29_2014","PSA_30_2014","PSA_31_2014","PSA_32_2014","PSA_33_2014","PSA_34_2014","PSA_35_2014","PSA_36_2014","PSA_37_2014","PSA_38_2014","PSA_39_2014","PSA_40_2014","PSA_41_2014"
"NSFTV_140",49405.87061,69854.39503,80599.26313,107380.0793,122970.5853,142620.9609,157591.3615,182909.289,212808.5116,229807.0303,263189.1067,288916.3692,321389.8544,357704.2601,387609.5308,429501.7869,466570.1618,513128.9273,561197.9644,601845.1372
"NSFTV_141",52709.70394,72165.06169,82810.09646,114178.4126,130167.5853,148430.4609,176643.5282,205958.9557,231437.0116,273938.2803,298287.2734,329560.8692,368251.3544,396207.0934,430047.3642,477895.9536,482905.8285,525534.7606,555248.6311,603715.4705
"NSFTV_142",41366.41796,52597.82178,59398.44841,82807.72439,95694.33043,112086.1001,128677.3822,148061.6901,166874.0718,175243.314,210910.3186,230396.484,255090.3328,289942.306,318956.3553,356066.9219,388639.7808,424428.8226,450276.1094,495509.1181
"NSFTV_143",34738.09378,48308.23465,59238.56778,79164.0052,87230.31477,99114.60429,119723.4263,137667.7041,152495.0868,173347.1332,197078.8896,223325.1331,245930.2739,275268.7979,308116.5805,344204.5218,378093.6304,418343.0118,450105.1045,472715.9456
"NSFTV_144",26663.37061,38641.72836,44966.76313,61704.24595,72396.58528,81001.29426,92264.36151,103787.4557,120189.0116,136129.814,151799.1067,170354.3692,191195.0211,215700.5934,241208.8642,275353.1203,305498.6618,334529.4273,371382.6311,404998.6372
"NSFTV_145",47598.87061,64299.22836,74091.42979,99505.07928,112101.0853,129895.4609,147236.6948,170183.1223,185313.5116,212325.4806,239494.7734,272276.3692,304686.6877,341341.5934,379896.3642,425020.1203,462131.6618,510316.594,554909.6311,534449.4744
"NSFTV_146",45442.21878,63476.23465,72865.06778,96560.8802,109470.3148,133393.2293,156274.1763,181625.4541,214259.8368,251523.0505,273450.0146,307424.5081,339535.5239,362585.7979,388171.7055,417890.6468,427706.6304,464851.5118,508192.7295,547638.1999
"NSFTV_147",34472.34378,47177.48465,53923.56778,70743.5052,81057.31477,92683.10429,109494.9263,124560.4541,139861.5868,159380.6332,176832.2646,202398.8831,223271.7739,246167.0479,270826.4555,295343.342,328169.5054,356428.1368,394633.9795,423967.4499
"NSFTV_148",43449.71878,56865.48465,66004.31778,81449.04324,92570.06477,108071.2293,123539.3013,141753.0791,164315.9618,174383.2172,213583.5146,240319.6331,267156.1489,297285.6729,332534.9555,378452.1468,414742.0054,449774.6368,489358.7295,504556.1123
"NSFTV_149",28916.03728,39266.72836,45387.92979,59157.74595,66584.75195,77961.79426,91683.36151,107232.289,123832.8449,138162.9806,156259.9401,171286.5359,192932.8544,219141.0934,249165.3642,273231.1203,305281.3285,336874.094,375761.9644,422943.9705
