"NSFTV.ID","PSA","Treatment","Exp","Rep","DayOfImaging"
"NSFTV_140",3086,"Control","E1","1","1"
"NSFTV_141",3934,"Control","E1","1","1"
"NSFTV_142",2750,"Control","E1","1","1"
"NSFTV_143",2838,"Control","E1","1","1"
"NSFTV_144",3561,"Control","E1","1","1"
"NSFTV_145",2879,"Control","E1","1","1"
"NSFTV_146",3061,"Control","E1","1","1"
"NSFTV_147",2332,"Control","E1","1","1"
"NSFTV_148",4803,"Control","E1","1","1"
"NSFTV_149",2077,"Control","E1","1","1"
"NSFTV_15",2366,"Control","E1","1","1"
"NSFTV_150",2172,"Control","E1","1","1"
"NSFTV_151",2674,"Control","E1","1","1"
"NSFTV_152",2489,"Control","E1","1","1"
"NSFTV_153",2457,"Control","E1","1","1"
"NSFTV_154",3843,"Control","E1","1","1"
"NSFTV_155",2090,"Control","E1","1","1"
"NSFTV_156",3326,"Control","E1","1","1"
"NSFTV_157",2046,"Control","E1","1","1"
"NSFTV_158",1761,"Control","E1","1","1"
"NSFTV_159",2456,"Control","E1","1","1"
"NSFTV_16",2875,"Control","E1","1","1"
"NSFTV_160",2315,"Control","E1","1","1"
"NSFTV_161",2581,"Control","E1","1","1"
"NSFTV_162",1936,"Control","E1","1","1"
"NSFTV_163",2986,"Control","E1","1","1"
"NSFTV_164",3568,"Control","E1","1","1"
"NSFTV_165",3250,"Control","E1","1","1"
"NSFTV_166",2870,"Control","E1","1","1"
"NSFTV_167",1309,"Control","E1","1","1"
"NSFTV_168",4384,"Control","E1","1","1"
"NSFTV_169",2735,"Control","E1","1","1"
"NSFTV_17",2046,"Control","E1","1","1"
"NSFTV_171",5103,"Control","E1","1","1"
"NSFTV_172",3315,"Control","E1","1","1"
"NSFTV_173",1964,"Control","E1","1","1"
"NSFTV_174",2882,"Control","E1","1","1"
"NSFTV_176",3751,"Control","E1","1","1"
"NSFTV_177",3015,"Control","E1","1","1"
"NSFTV_179",2573,"Control","E1","1","1"
"NSFTV_18",4634,"Control","E1","1","1"
"NSFTV_180",3139,"Control","E1","1","1"
"NSFTV_182",3452,"Control","E1","1","1"
"NSFTV_183",2817,"Control","E1","1","1"
"NSFTV_184",3204,"Control","E1","1","1"
"NSFTV_185",2495,"Control","E1","1","1"
"NSFTV_186",2229,"Control","E1","1","1"
"NSFTV_187",2374,"Control","E1","1","1"
"NSFTV_188",2922,"Control","E1","1","1"
"NSFTV_189",4424,"Control","E1","1","1"
"NSFTV_19",4797,"Control","E1","1","1"
"NSFTV_190",2261,"Control","E1","1","1"
"NSFTV_191",3273,"Control","E1","1","1"
"NSFTV_192",2599,"Control","E1","1","1"
"NSFTV_193",2655,"Control","E1","1","1"
"NSFTV_195",3192,"Control","E1","1","1"
"NSFTV_198",1612,"Control","E1","1","1"
"NSFTV_199",3055,"Control","E1","1","1"
"NSFTV_200",4553,"Control","E1","1","1"
"NSFTV_202",3705,"Control","E1","1","1"
"NSFTV_203",2830,"Control","E1","1","1"
"NSFTV_205",3500,"Control","E1","1","1"
"NSFTV_206",3911,"Control","E1","1","1"
"NSFTV_207",4156,"Control","E1","1","1"
"NSFTV_208",2763,"Control","E1","1","1"
"NSFTV_209",2685,"Control","E1","1","1"
"NSFTV_21",2820,"Control","E1","1","1"
"NSFTV_211",3389,"Control","E1","1","1"
"NSFTV_213",3788,"Control","E1","1","1"
"NSFTV_214",2797,"Control","E1","1","1"
"NSFTV_215",3450,"Control","E1","1","1"
"NSFTV_216",3093,"Control","E1","1","1"
"NSFTV_217",2244,"Control","E1","1","1"
"NSFTV_218",1547,"Control","E1","1","1"
"NSFTV_219",2868,"Control","E1","1","1"
"NSFTV_220",4115,"Control","E1","1","1"
"NSFTV_221",3448,"Control","E1","1","1"
"NSFTV_222",3198,"Control","E1","1","1"
"NSFTV_223",3334,"Control","E1","1","1"
"NSFTV_224",3376,"Control","E1","1","1"
"NSFTV_225",3221,"Control","E1","1","1"
"NSFTV_226",2925,"Control","E1","1","1"
"NSFTV_227",5074,"Control","E1","1","1"
"NSFTV_228",3519,"Control","E1","1","1"
"NSFTV_229",4668,"Control","E1","1","1"
"NSFTV_23",3019,"Control","E1","1","1"
"NSFTV_231",4710,"Control","E1","1","1"
"NSFTV_233",3127,"Control","E1","1","1"
"NSFTV_234",4075,"Control","E1","1","1"
"NSFTV_235",5358,"Control","E1","1","1"
"NSFTV_236",1729,"Control","E1","1","1"
"NSFTV_237",2334,"Control","E1","1","1"
"NSFTV_239",2628,"Control","E1","1","1"
"NSFTV_24",3458,"Control","E1","1","1"
"NSFTV_240",2997,"Control","E1","1","1"
"NSFTV_241",2521,"Control","E1","1","1"
"NSFTV_242",3304,"Control","E1","1","1"
"NSFTV_243",3413,"Control","E1","1","1"
"NSFTV_244",2311,"Control","E1","1","1"
"NSFTV_245",3959,"Control","E1","1","1"
"NSFTV_246",4006,"Control","E1","1","1"
"NSFTV_247",3118,"Control","E1","1","1"
"NSFTV_248",2935,"Control","E1","1","1"
"NSFTV_25",2782,"Control","E1","1","1"
"NSFTV_250",2804,"Control","E1","1","1"
"NSFTV_251",1976,"Control","E1","1","1"
"NSFTV_252",3144,"Control","E1","1","1"
"NSFTV_253",1542,"Control","E1","1","1"
"NSFTV_254",4815,"Control","E1","1","1"
"NSFTV_255",3445,"Control","E1","1","1"
"NSFTV_256",3935,"Control","E1","1","1"
"NSFTV_257",4542,"Control","E1","1","1"
"NSFTV_258",3613,"Control","E1","1","1"
"NSFTV_259",6133,"Control","E1","1","1"
"NSFTV_26",3686,"Control","E1","1","1"
"NSFTV_260",3298,"Control","E1","1","1"
"NSFTV_261",6253,"Control","E1","1","1"
"NSFTV_262",4031,"Control","E1","1","1"
"NSFTV_263",3545,"Control","E1","1","1"
"NSFTV_264",4097,"Control","E1","1","1"
"NSFTV_265",3981,"Control","E1","1","1"
"NSFTV_266",4165,"Control","E1","1","1"
"NSFTV_267",2584,"Control","E1","1","1"
"NSFTV_268",3627,"Control","E1","1","1"
"NSFTV_269",3164,"Control","E1","1","1"
"NSFTV_27",3175,"Control","E1","1","1"
"NSFTV_270",2553,"Control","E1","1","1"
"NSFTV_271",4198,"Control","E1","1","1"
"NSFTV_272",4661,"Control","E1","1","1"
"NSFTV_273",2177,"Control","E1","1","1"
"NSFTV_274",2410,"Control","E1","1","1"
"NSFTV_275",3566,"Control","E1","1","1"
"NSFTV_277",3193,"Control","E1","1","1"
"NSFTV_278",1578,"Control","E1","1","1"
"NSFTV_279",2428,"Control","E1","1","1"
"NSFTV_280",2809,"Control","E1","1","1"
"NSFTV_281",3335,"Control","E1","1","1"
"NSFTV_282",2520,"Control","E1","1","1"
"NSFTV_283",2737,"Control","E1","1","1"
"NSFTV_284",3954,"Control","E1","1","1"
"NSFTV_285",2870,"Control","E1","1","1"
"NSFTV_286",2256,"Control","E1","1","1"
"NSFTV_287",4507,"Control","E1","1","1"
"NSFTV_288",3161,"Control","E1","1","1"
"NSFTV_289",3019,"Control","E1","1","1"
"NSFTV_29",4787,"Control","E1","1","1"
"NSFTV_290",2145,"Control","E1","1","1"
"NSFTV_291",1750,"Control","E1","1","1"
"NSFTV_292",3324,"Control","E1","1","1"
"NSFTV_293",4288,"Control","E1","1","1"
"NSFTV_294",2908,"Control","E1","1","1"
"NSFTV_295",4719,"Control","E1","1","1"
"NSFTV_296",2113,"Control","E1","1","1"
"NSFTV_297",2788,"Control","E1","1","1"
"NSFTV_298",2472,"Control","E1","1","1"
"NSFTV_299",3765,"Control","E1","1","1"
"NSFTV_3",3268,"Control","E1","1","1"
"NSFTV_30",2684,"Control","E1","1","1"
"NSFTV_300",2738,"Control","E1","1","1"
"NSFTV_301",2542,"Control","E1","1","1"
"NSFTV_302",3081,"Control","E1","1","1"
"NSFTV_303",2594,"Control","E1","1","1"
"NSFTV_304",3917,"Control","E1","1","1"
"NSFTV_305",3776,"Control","E1","1","1"
"NSFTV_306",3070,"Control","E1","1","1"
"NSFTV_307",3086,"Control","E1","1","1"
"NSFTV_309",2982,"Control","E1","1","1"
"NSFTV_31",2682,"Control","E1","1","1"
"NSFTV_310",3103,"Control","E1","1","1"
"NSFTV_311",1427,"Control","E1","1","1"
"NSFTV_312",4222,"Control","E1","1","1"
"NSFTV_313",3547,"Control","E1","1","1"
"NSFTV_314",3496,"Control","E1","1","1"
"NSFTV_315",3292,"Control","E1","1","1"
"NSFTV_316",2832,"Control","E1","1","1"
"NSFTV_317",3928,"Control","E1","1","1"
"NSFTV_318",3319,"Control","E1","1","1"
"NSFTV_32",2475,"Control","E1","1","1"
"NSFTV_320",3025,"Control","E1","1","1"
"NSFTV_322",3129,"Control","E1","1","1"
